[2025-04-02 15:18:27,419: INFO: main: Welcome to my log]
[2025-04-07 20:27:18,216: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-04-07 20:27:18,231: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-04-07 20:27:18,231: INFO: comman: created directory at: artifacts]
[2025-04-07 20:27:18,231: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-04-07 20:27:18,231: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-07 20:28:18,323: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 17:14:05,563: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-08 17:14:05,579: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-04-08 17:14:05,591: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-04-08 17:14:05,591: INFO: comman: created directory at: artifacts]
[2025-04-08 17:14:05,591: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-04-08 17:14:05,591: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 17:14:36,586: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 17:14:37,300: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
